Symbol,Company_Name,Sector,Industry,Market_Cap,P_E_Ratio,Dividend_Yield,EPS,Revenue,Profit_Margin,Debt_to_Equity,Current_Ratio,ROE,ROA,Beta,52_Week_High,52_Week_Low,Average_Volume,Shares_Outstanding,Market_Cap_Category
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,44409106432.0,26.607288,1.1,2.47,17468999680.0,0.09187999,17.175,1.578,0.06705,0.03805,0.748,77.41,53.4,4665812.0,675732000.0,Large Cap
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,28993718272.0,1140.1667,,0.06,3056499968.0,0.00664,13.126,3.121,0.00252,-0.00398,0.84,97.43,63.82,3278000.0,423822791.0,Large Cap
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,405003698176.0,50.15697,0.57,18.22,275235012608.0,0.02943,34.066,1.034,0.30686,0.08833,0.982,1078.23,871.71,2377554.0,443179176.0,Large Cap
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,20397305856.0,12.402778,3.33,2.16,6665999872.0,0.24691999,27.957,1.025,0.118549995,0.06279,0.321,29.95,22.33,8562509.0,761377552.0,Large Cap
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,139714248704.0,,,-1.23,4341102080.0,-0.06841,21.36,1.88,-0.089209996,-0.02053,1.086,558.98,298.0,2930748.0,250955140.0,Large Cap
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,41035190272.0,,4.63,-9.05,6419999744.0,-0.71931,,0.259,-2.06679,0.03974,0.961,115.76,84.2,3376867.0,435479010.0,Large Cap
CSX,CSX Corporation,Industrials,Railroads,65137549312.0,22.714287,1.48,1.54,14122999808.0,0.20548001,155.283,0.847,0.22589001,0.07007,1.298,37.25,26.22,17639001.0,1862136956.0,Large Cap
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,65706639360.0,24.689316,1.65,19.28,33581000704.0,0.079450004,62.949,1.769,0.22767,0.079050004,1.116,484.84,260.02,861512.0,138036253.0,Large Cap
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,101389574144.0,210.18422,3.43,0.38,391689994240.0,0.0011999999,111.821,0.832,0.0057800002,0.02444,0.482,85.15,43.56,7299187.0,1269432485.0,Large Cap
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,152423170048.0,44.401234,0.61,4.86,24267999232.0,0.14435,35.544,1.519,0.06843,0.040570002,0.928,258.23,171.0,3978992.0,706349563.0,Large Cap
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,19958278144.0,18.410944,3.46,9.32,12364399616.0,0.08898,361.727,0.397,0.50411,0.07475,0.656,228.27,159.4,1208317.0,116313762.0,Large Cap
DDOG,"Datadog, Inc.",Technology,Software - Application,69383716864.0,618.3125,,0.32,3211691008.0,0.033239998,37.199,3.663,0.03519,-0.00503,1.233,201.69,81.63,4586875.0,325443373.0,Large Cap
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,8632261632.0,12.618163,,9.69,13317964800.0,0.05796,953.093,1.363,0.61618,0.07007,0.994,179.6,115.39,799451.0,70600000.0,Mid Cap
DAY,Dayforce Inc,Technology,Software - Application,11010405376.0,,,-0.95,1893299968.0,-0.07912,45.53,1.043,-0.05706,-0.00205,1.201,82.69,48.005,2999292.0,160034963.0,Large Cap
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,12054554624.0,12.289747,,6.73,5244322816.0,0.19364001,14.22,3.067,0.43312,0.21533,1.193,223.98,78.91,3621465.0,145744833.0,Large Cap
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,129203945472.0,24.932186,1.37,19.17,44250001408.0,0.11767,266.767,2.229,0.21399,0.03736,1.008,533.78,387.03,1410679.0,270329392.0,Large Cap
DELL,Dell Technologies Inc.,Technology,Computer Hardware,92996976640.0,20.256933,1.47,6.85,101450997760.0,0.04768,,0.83,,0.054,1.091,168.08,66.25,6932225.0,338646945.0,Large Cap
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,37702070272.0,8.143865,1.28,7.09,62919999488.0,0.07357,117.299,0.398,0.28514,0.04749,1.387,69.98,34.74,8401546.0,652962768.0,Large Cap
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,22055866368.0,8.292453,2.83,4.24,16554000384.0,0.16424999,56.274,0.957,0.18586999,0.08022001,0.684,39.74,25.89,7233610.0,627300000.0,Large Cap
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,22671644672.0,32.294445,,1.8,4515899904.0,0.15958999,94.479,1.565,0.30635,0.07017,1.524,93.25,54.11,5975587.0,390016272.0,Large Cap
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,42448764928.0,10.403791,2.76,14.24,14625999872.0,0.28689,35.66,0.623,0.10901,0.051009998,0.616,186.07,114.0,1866175.0,286525614.0,Large Cap
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,58949697536.0,43.670986,2.88,3.86,5841035776.0,0.23959999,79.248,1.304,0.05825,0.010650001,1.118,198.0,129.95,1580723.0,343501552.0,Large Cap
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,22906435584.0,19.272223,2.35,5.4,41651642368.0,0.0286,213.026,1.253,0.15597999,0.03971,0.287,117.95,66.43,3059553.0,220106028.0,Large Cap
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,21616513024.0,20.538761,,5.16,18551099392.0,-0.15799,203.675,1.036,0.20055,0.0529,0.764,118.06,60.49,4635126.0,203967842.0,Large Cap
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,52259491840.0,20.0,4.39,3.06,15813000192.0,0.16790001,154.315,0.845,0.09204,0.029790001,0.687,62.52,48.07,4753267.0,853913277.0,Large Cap
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,13826333696.0,23.903622,1.71,17.12,4848167936.0,0.12159,,1.609,,0.33951,1.151,500.55,392.89,650317.0,33786218.0,Large Cap
DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,86471237632.0,101.328285,,1.98,12634999808.0,0.0683,34.255,2.045,0.100430004,0.0312,1.696,285.5,155.4,3599646.0,406334617.0,Large Cap
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,25232076800.0,23.954428,1.14,7.68,7923358208.0,0.28370002,40.076,2.042,0.15883,0.069,1.312,222.31,143.04,1075853.0,137153223.0,Large Cap
DOW,Dow Inc.,Basic Materials,Chemicals,15857219584.0,,6.33,-1.61,40912998400.0,-0.02769,102.943,1.944,-0.05287,0.00723,0.786,46.36,20.402,13414037.0,710767392.0,Large Cap
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,43284905984.0,12.704409,1.25,11.57,34250399744.0,0.10468,24.111,5.005,0.14321,0.07882,1.386,184.55,110.44,3466539.0,294475153.0,Large Cap
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,29029931008.0,20.987988,3.13,6.66,14821999616.0,0.093439996,207.975,1.152,0.11658,0.02826,0.468,143.79,116.3,1135581.0,207683012.0,Large Cap
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,96173367296.0,19.444967,3.47,6.36,31235999744.0,0.15972,170.344,0.629,0.09905,0.02854,0.477,130.03,105.2,2899759.0,777661224.0,Large Cap
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,16926604288.0,23.352602,3.55,1.73,12842999808.0,-0.060110003,39.673,2.002,0.03217,0.03462,1.09,40.795,22.497908,7599371.0,418975324.0,Large Cap
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,142896250880.0,36.86473,1.1,9.98,26633000960.0,0.14741,59.661,1.28,0.20653,0.080290005,1.159,399.56,231.85,2213940.0,388400000.0,Large Cap
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,39441522688.0,19.348114,1.36,4.51,10714000384.0,0.20366,151.155,0.925,0.42430001,0.0785,1.343,101.15,58.71,5860948.0,452000000.0,Large Cap
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,74221895680.0,37.65086,1.01,6.96,15890400256.0,0.12489,103.915,1.697,0.21869,0.07754,0.989,286.04,221.62,1403981.0,283235653.0,Large Cap
EIX,Edison International,Utilities,Utilities - Regulated Electric,22267627520.0,7.5845346,5.77,7.63,18087999488.0,0.16315001,204.02,0.82,0.15765001,0.03238,0.838,88.65,47.73,3104689.0,384787056.0,Large Cap
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,49418354688.0,37.35088,,2.28,5883800064.0,0.23249,6.862,4.004,0.13492,0.07715,0.973,87.09,64.89,4595640.0,580300000.0,Large Cap
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,50362261504.0,58.700577,0.38,3.44,7288000000.0,0.121429995,36.65,0.838,0.13201,0.06273,0.757,203.75,115.21,3450990.0,249404562.0,Large Cap
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,70060769280.0,12.841141,2.25,24.55,194819997696.0,0.028399998,72.823,1.56,0.12569,0.04242,0.532,458.75,273.71,1938034.0,222238763.0,Large Cap
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,28688203776.0,25.83031,0.15,24.81,16243319808.0,0.06959,12.915,1.192,0.37088,0.12044,1.159,778.64,320.89,607456.0,44765864.0,Large Cap
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,72899485696.0,32.141438,1.71,4.03,18016000000.0,0.12728,64.617,0.876,0.09363,0.04795,1.25,150.27,90.06,2868595.0,562800000.0,Large Cap
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,43261841408.0,23.859608,2.64,4.06,12730047488.0,0.1421,179.362,0.713,0.11188,0.03134,0.617,98.58,73.15,2647990.0,446596904.0,Large Cap
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,59327713280.0,10.857994,3.83,10.07,22653999104.0,0.24410999,26.835,1.624,0.18476999,0.09086,0.505,138.18,102.52,3565618.0,542598457.0,Large Cap
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,9952509952.0,27.505342,,6.55,5297859072.0,0.070149995,4.165,3.022,0.10207,0.07743,1.767,269.0,138.15,812432.0,55242618.0,Mid Cap
EQT,EQT Corporation,Energy,Oil & Gas E&P,37874626560.0,19.76873,1.12,3.07,7708868096.0,0.23097,30.675,0.578,0.08488,0.040939998,0.632,61.055,42.27,7647315.0,624067000.0,Large Cap
EFX,Equifax Inc.,Industrials,Consulting Services,26027091968.0,40.27462,0.96,5.28,5943300096.0,0.1108,94.824,0.738,0.13066,0.05905,1.587,281.07,199.98,1195389.0,122394037.0,Large Cap
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,80614694912.0,75.67188,2.27,10.85,9075999744.0,0.118,147.969,1.34,0.077,0.03196,1.027,994.03,701.41,471910.0,98186078.0,Large Cap
EQR,Equity Residential,Real Estate,REIT - Residential,23720462336.0,19.898027,4.65,3.04,3078827008.0,0.37583,76.237,0.165,0.10444,0.02558,0.763,78.32,58.38,2339925.0,380474721.0,Large Cap
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,14780254208.0,22.831987,1.97,12.38,4040325120.0,0.16038,2.353,1.669,0.30444,0.15170999,0.386,456.93,276.91,137073.0,46189068.0,Large Cap
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,18075910144.0,19.917046,3.95,13.14,1916711040.0,0.44167,115.144,0.457,0.15987,0.030580001,0.733,316.29,243.25,451740.0,64404022.0,Large Cap
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,32735123456.0,,1.56,-2.59,14446000128.0,-0.064380005,242.211,1.321,-0.20727,0.03847,1.174,104.53,48.37,3779396.0,245852896.0,Large Cap
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,13618939904.0,24.139137,2.43,13.44,17677000704.0,0.031229999,23.337,0.408,0.03595,0.00746,0.379,392.78,302.44,366443.0,41978058.0,Large Cap
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,17724186624.0,21.09315,3.63,3.65,5878799872.0,0.1445,142.45,0.516,0.08454,0.02866,0.635,79.32,59.67,2154425.0,230214144.0,Large Cap
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,27512621056.0,20.256907,4.15,3.62,13148535808.0,0.102189995,184.357,0.715,0.0861,0.03143,0.759,75.25,52.28,2830259.0,375189145.0,Large Cap
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,45816709120.0,16.286737,3.52,2.79,24316999680.0,0.116009995,177.601,0.939,0.10308,0.02853,0.553,48.51,35.94,6412001.0,1008290316.0,Large Cap
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,28256452608.0,38.14791,2.78,3.11,10778999808.0,0.08043,27.95,0.81,0.061189998,0.050669998,0.452,123.345,91.015,3382070.0,238169697.0,Large Cap
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,32510326784.0,25.585342,0.6,10.37,14369999872.0,0.096590005,250.289,0.744,0.53886,0.05079,1.457,270.22,130.01,1817164.0,117009063.0,Large Cap
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,18697259008.0,22.721498,1.1,6.14,11167760384.0,0.07571,24.549,1.794,0.36505002,0.13853,1.162,141.79,100.47,1270731.0,134020931.0,Large Cap
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,29678272512.0,29.895088,4.97,4.48,3421972992.0,0.27735,94.252,1.46,0.06786,0.033469997,1.27,175.58,121.03,1082289.0,212247580.0,Large Cap
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,505112231936.0,17.409883,3.49,6.88,326244990976.0,0.091809995,15.672,1.137,0.11424,0.05086,0.378,123.21,97.8,14648071.0,4217000000.0,Large Cap
FFIV,"F5, Inc.",Technology,Software - Infrastructure,13758210048.0,20.212711,,11.8,3088071936.0,0.22421,6.424,1.562,0.20602,0.08299,0.988,346.0,227.04,715765.0,57684000.0,Large Cap
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,10161758208.0,17.452442,1.66,15.56,2321747968.0,0.25715,71.282,1.4,0.29132,0.111899994,0.748,499.87,250.5,739034.0,37419936.0,Large Cap
FICO,Fair Isaac Corporation,Technology,Software - Application,42621517824.0,67.786194,,26.52,1990868992.0,0.32747,,0.83,,0.32619,1.296,2402.52,1300.0,330659.0,23709047.0,Large Cap
FAST,Fastenal Company,Industrials,Industrial Distribution,47367950336.0,38.560745,2.13,1.07,7997599744.0,0.15336001,13.283,4.259,0.32742,0.205,0.882,50.63,35.305,6254456.0,1148035721.0,Large Cap
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,8598332416.0,25.142132,4.67,3.94,1257395968.0,0.27586,138.76,0.369,0.10516,0.03276,1.02,118.09,80.65,651582.0,86270031.0,Mid Cap
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,63169994752.0,15.692849,2.28,17.06,88590999552.0,0.046529997,,1.246,0.15004,0.048839998,1.341,308.53,194.3,1892223.0,235955461.0,Large Cap
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,34374930432.0,207.4375,2.44,0.32,10464000000.0,0.0146200005,94.272,0.532,0.011829999,0.04289,0.935,89.57,59.51,4185378.0,517850764.0,Large Cap
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,28416897024.0,12.832837,3.71,3.35,8125000192.0,0.29674,,,0.115109995,0.01129,1.011,49.07,32.25,6606557.0,661011769.0,Large Cap
FSLR,"First Solar, Inc.",Technology,Solar,28345446400.0,20.272448,,13.03,5050625024.0,0.27728,9.893,1.91,0.16864,0.0756,1.59,281.55,116.56,2681043.0,107308141.0,Large Cap
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,26734360576.0,20.121738,3.86,2.3,14282999808.0,0.09312,193.669,0.747,0.11192001,0.03247,0.652,48.2,37.58,4222998.0,577665555.0,Large Cap
FI,"Fiserv, Inc.",Technology,Information Technology Services,34314950656.0,9.860897,,6.47,21159999488.0,0.17046,120.581,1.08,0.1354,0.04773,0.794,238.59,60.95,8268550.0,537851887.0,Large Cap
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,52993835008.0,11.367522,4.56,1.17,189587996672.0,0.024820002,346.673,1.121,0.10295,0.00833,1.612,13.97,8.44,88756745.0,3913646490.0,Large Cap
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,62213603328.0,34.427982,,2.43,6554699776.0,0.28584,148.116,1.027,2.28043,0.13884,1.094,114.82,70.12,6575826.0,743648102.0,Large Cap
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,16477692928.0,20.425198,0.47,2.54,6260299776.0,0.09621,52.244,0.701,0.103649996,0.04829,1.05,62.788242,45.504898,3489140.0,317611636.0,Large Cap
FOXA,Fox Corporation,Communication Services,Entertainment,27969161216.0,14.930338,0.84,4.45,16474000384.0,0.12353,60.136,3.238,0.17272,0.087299995,0.512,67.216,44.82,3550232.0,208361696.0,Large Cap
FOX,Fox Corporation,Communication Services,Entertainment,27982815232.0,13.4809,0.93,4.45,16474000384.0,0.12353,60.136,3.238,0.17272,0.087299995,0.512,60.72,42.2,1795257.0,235581025.0,Large Cap
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,11889219584.0,25.076921,5.68,0.91,8770700288.0,0.05985,26.57,,0.03786,,1.496,26.08,16.25,4163760.0,521000000.0,Large Cap
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,58973671424.0,28.72028,1.47,1.43,26001999872.0,0.07969,30.589,2.455,0.14538999,0.07699,1.487,49.12,27.66,17951728.0,1435930660.0,Large Cap
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,38401568768.0,24.61899,1.78,8.11,6943124992.0,0.22625999,2.342,3.316,0.19655001,0.11185,1.006,261.69,169.26,857520.0,192334806.0,Large Cap
IT,"Gartner, Inc.",Technology,Information Technology Services,16688741376.0,20.221834,,11.45,6459774976.0,0.1371,512.089,0.878,1.0925701,0.096920006,1.075,584.01,222.54,1393501.0,72077145.0,Large Cap
GE,GE Aerospace,Industrials,Aerospace & Defense,327751761920.0,41.484646,0.46,7.49,43949998080.0,0.18344,115.246,1.077,0.42131,0.049289998,1.401,316.67,159.36,4030796.0,1054813911.0,Large Cap
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,33439842304.0,15.198759,0.19,4.83,20245999616.0,0.10945,105.127,1.181,0.24450001,0.05455,1.273,94.8,57.65,3276737.0,455521592.0,Large Cap
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,156302295040.0,93.67155,0.17,6.15,37669998592.0,0.045229997,11.101,1.029,0.16723,0.024260001,,677.29,252.25,2896229.0,271320459.0,Large Cap
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,16737674240.0,29.824175,1.9,0.91,4472999936.0,0.12743,356.98,0.505,0.25027,0.06864,1.111,32.22,22.74,3741220.0,616716107.0,Large Cap
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,9267387392.0,30.08,,5.25,4352443904.0,0.06921,56.133,2.183,0.11969,0.057550002,1.811,203.25,99.5,1086295.0,58684066.0,Mid Cap
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,95195848704.0,22.810358,1.72,15.45,51508998144.0,0.081829995,40.419,1.4,0.17782,0.05796,0.403,360.5,239.2,1043234.0,270120442.0,Large Cap
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,24883875840.0,8.818526,5.28,5.29,19156000768.0,0.15241,151.352,0.658,0.30866,0.06216,-0.074,67.4,45.8,5990032.0,533416422.0,Large Cap
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,66438385664.0,13.591604,0.84,5.24,187435008000.0,0.01625,195.437,1.229,0.04442,0.02014,1.311,71.64,41.6,8544573.0,932861303.0,Large Cap
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,17707374592.0,21.90878,3.29,5.81,24060899328.0,0.0336,133.159,1.137,0.16994,0.04434,0.748,143.48,104.01,1185292.0,139110500.0,Large Cap
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,152057692160.0,18.972136,2.67,6.46,29087000576.0,0.27882,116.243,1.453,0.40706003,0.12571,0.334,124.61,86.08,6949015.0,1240679623.0,Large Cap
GPN,Global Payments Inc.,Industrials,Specialty Business Services,18283718656.0,11.719272,1.32,6.59,10076184576.0,0.17365,69.198,0.855,0.07233,0.0325,0.824,120.0,65.93,2306528.0,236743716.0,Large Cap
GL,Globe Life Inc.,Financial Services,Insurance - Life,10532642816.0,9.601597,0.81,13.78,5940974080.0,0.19363001,55.217,0.695,0.22277,0.033069998,0.481,147.83,100.27,568717.0,79605800.0,Large Cap
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,17794095104.0,22.701723,,5.8,4869799936.0,0.17013,4217.211,0.569,3.69454,0.08575,0.943,216.0,125.0,1623657.0,135141594.0,Large Cap
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,243035078656.0,16.446316,2.01,49.27,57336999936.0,0.29073998,586.142,1.657,0.13532,0.009430001,1.35,825.25,439.38,1869331.0,299928511.0,Large Cap
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,23616043008.0,18.58278,2.45,1.51,22136999936.0,0.05913,83.613,1.955,0.12788,0.0761,0.816,32.57,18.72,12617464.0,841626610.0,Large Cap
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,36550561792.0,10.734042,1.83,12.22,27917000704.0,0.12745,23.675,1.796,0.20069,0.03482,0.637,135.17,104.93,1452576.0,278650292.0,Large Cap
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,11006632960.0,,3.58,-3.99,4357000192.0,-0.12814,771.392,1.705,-0.62839,0.08862001,0.549,82.19,49.0,1731320.0,140337023.0,Large Cap
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,105496322048.0,17.877417,0.63,25.86,74371997696.0,0.0853,,0.854,,0.12198,1.376,478.88,289.98,1288070.0,228193900.0,Large Cap
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,12439601152.0,,6.89,-0.06,2801097984.0,-0.01359,114.248,3.653,-0.00115,0.01588,1.098,22.71,16.63,8073593.0,694949823.0,Large Cap
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8619810816.0,23.097792,,3.17,12938000384.0,0.03022,70.224,1.396,0.08347999,0.042329997,0.905,82.49,60.56,1619126.0,117724807.0,Mid Cap
HSY,The Hershey Company,Consumer Defensive,Confectioners,35025047552.0,25.817638,3.24,6.69,11489094656.0,0.118360005,125.764,1.363,0.31013,0.09329,0.187,208.03,140.13,1510970.0,148171608.0,Large Cap
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,30202212352.0,26.92941,2.18,0.85,33074999296.0,0.03773,96.967,0.951,0.05356,0.02041,1.338,26.44,11.965,28573442.0,1319450062.0,Large Cap
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,63596580864.0,39.711174,0.22,6.89,4870000128.0,0.34188998,,0.664,,0.09635,1.166,279.81,196.04,1709782.0,232435166.0,Large Cap
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,16603461632.0,29.959839,,2.49,4100499968.0,0.13796,49.682,3.754,0.11116,0.06825,0.705,80.31,51.9,2874207.0,222566511.0,Large Cap
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,372513472512.0,25.441196,2.48,14.71,165054005248.0,0.08863,580.591,1.147,1.9395399,0.13713999,1.046,439.37,326.31,3498401.0,995386647.0,Large Cap
HON,Honeywell International Inc.,Industrials,Conglomerates,127237750784.0,21.11802,2.34,9.49,40669999104.0,0.1507,215.247,1.358,0.34616002,0.066589996,0.945,228.81244,169.04807,4510377.0,634887208.0,Large Cap
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,12380465152.0,16.430656,5.24,1.37,12058590208.0,0.06257,35.301,2.469,0.09442,0.048410002,0.333,33.8,21.03,4642998.0,549998433.0,Large Cap
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,12503547904.0,16.933964,4.41,1.06,5950000128.0,0.12403,82.827,1.021,0.109239995,0.039189998,1.209,19.36,12.22,8552889.0,687689481.0,Large Cap
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,84082245632.0,58.515404,0.21,3.57,7975000064.0,0.18181999,65.176,2.353,0.30064,0.112840004,1.319,211.95,105.04,2138198.0,402500000.0,Large Cap
HPQ,HP Inc.,Technology,Computer Hardware,23115175936.0,8.992727,4.58,2.75,54711001088.0,0.048249997,,0.738,,0.05915,1.221,39.8,21.21,10633692.0,934701851.0,Large Cap
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,23921514496.0,28.150093,1.23,15.99,5686199808.0,0.15123,58.21,1.358,0.24991,0.09993,0.996,484.26,299.425,527484.0,53144752.0,Large Cap
HUM,Humana Inc.,Healthcare,Healthcare Plans,29282885632.0,22.796816,1.48,10.68,126362001408.0,0.01022,69.686,2.024,0.07159,0.045760002,0.455,315.35,206.87,1839146.0,120273068.0,Large Cap
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,24762552320.0,11.062937,3.92,1.43,7502000128.0,0.29619,,,0.10434,0.01091,0.981,18.45,11.92,30650220.0,1565268876.0,Large Cap
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,12721680384.0,22.357931,1.73,14.5,12012000256.0,0.04737,58.708,1.139,0.12387,0.039330002,0.367,330.0,158.88,452675.0,39241434.0,Large Cap
IBM,International Business Machines Corporation,Technology,Information Technology Services,293245124608.0,37.436752,2.17,8.38,65401999360.0,0.120900005,237.831,0.932,0.30156,0.0635,0.688,319.35,204.07,5296148.0,934735206.0,Large Cap
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,12687728640.0,26.863708,1.68,6.31,3421299968.0,0.13974,48.121,2.934,0.12197,0.063990004,1.002,237.38,153.36,691262.0,74849436.0,Large Cap
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,56891674624.0,56.410923,,12.63,4167410944.0,0.24654,71.29,1.18,0.64633006,0.24065,1.687,735.0,356.14,460460.0,79851330.0,Large Cap
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,71178936320.0,23.798254,2.64,10.31,15882999808.0,0.19052,278.654,1.53,0.91683,0.16416,1.153,279.13,214.66,1054068.0,290100000.0,Large Cap
INCY,Incyte Corporation,Healthcare,Biotechnology,21234264064.0,18.332203,,5.9,4813105152.0,0.24695,0.887,3.195,0.30389,0.13537,0.826,108.81,53.56,2074501.0,196322703.0,Large Cap
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,30553888768.0,57.281483,0.1,1.35,7458299904.0,0.07309,47.62,2.162,0.05382,0.05091,1.331,106.03,65.61,3327901.0,395110395.0,Large Cap
PODD,Insulet Corporation,Healthcare,Medical Devices,22952785920.0,95.12536,,3.43,2521799936.0,0.097629994,77.711,2.871,0.19679001,0.08741,1.379,353.5,230.05,592193.0,70346898.0,Large Cap
INTC,Intel Corporation,Technology,Semiconductors,180687601664.0,631.3334,,0.06,53439000576.0,0.0037099998,39.881,1.602,0.0018600001,-0.00463,1.346,42.48,17.67,126768495.0,4770000000.0,Large Cap
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,120474574848.0,34.236717,0.45,2.07,5996000256.0,0.15293999,145.38,1.101,0.23249,0.023659999,1.25,73.35,32.82,6517037.0,445363717.0,Large Cap
